"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"COMFORT ZONE BANQUET FACILITIES","5526 W FOND DU LAC AVE","7","10/22/2018","A"
"BEANS & BARLEY","1901 E NORTH AV","3","10/22/2018","A"
"GEORGE WEBB RESTAURANT","2935 N OAKLAND AV","3","10/19/2018","A"
"NO. 1 CHINESE RESTAURANT","7512 W APPLETON AV","2","10/19/2018","A"
"KOI JAPANESE CUISINE","552 W LAYTON AV","13","10/19/2018","A"
"BUFFALO WILD WINGS #415","3636 S 27TH ST","13","10/19/2018","A"
"CITGO","5758 W APPLETON AV","10","10/19/2018","A"
"JB'S ON 41","4040 S 27TH ST","13","10/19/2018","A"
"ASIAN INTERNATIONAL MARKET","3401 W NATIONAL AV","8","10/18/2018","A"
"MCDONALDS","7170 N TEUTONIA AV","1","10/18/2018","A"
"GOUDA'S ITALIAN DELI AND BUGSY'S. A BACK ALLEY SALOON","218 N WATER ST","4","10/18/2018","A"
"LA CASA DE ALBERTO","624 W NATIONAL AV","12","10/18/2018","A"
"M A T ENTERPRISE LOS COMALES NO 7","1306 S CESAR E CHAVEZ DR","12","10/18/2018","A"
"EL TAPATIO (ID #0893)","1701 W LINCOLN AV","12","10/18/2018","MA"
"SODEXO @ FIS CORP CAPE","11000 W LAKE PARK DR","5","10/17/2018","A"
"HOLY SMOKES BARBEQUE","5908 N 76TH ST","2","10/17/2018","A"
"THE HARBOR ROOM","117 E GREENFIELD AV","12","10/17/2018","A"
"EL TUCANAZO TAQUERIA Y MARISCOS","3261 S 13TH ST","14","10/16/2018","A"
"DAVIS & SON FOOD & LIQOUR","3562 N MARTIN L KING JR DR","6","10/16/2018","A"
"TOMATO DESTINATION","275 W WISCONSIN AVE","4","10/16/2018","A"
"FAMILY DOLLAR #26587","2012 W CAPITOL DR","1","10/15/2018","A"
"CVI/TROOP CAFE","3430 W WISCONSIN AV","4","10/15/2018","A"
"RUNNING REBELS COMMUNITY ORGANIZATION","1300 W FOND DU LAC AV","15","10/15/2018","A"
"SAL'S NEW YORK PIZZA","2040 W WISCONSIN AV","4","10/15/2018","A"
"IHOP","1010 W LAYTON AV","13","10/15/2018","A"
"ANGEL FOOD MARKET","3700 N 26TH ST","7","10/15/2018","B"
"LISBON CAFE","8518 W LISBON AV","5","10/12/2018","A"
"SLEEP INN & SUITES","4600 S 6TH ST","13","10/12/2018","A"
"SLEEP INN & SUITES","4600 S 6TH ST","13","10/12/2018","A"
"THE BUFFET- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL","1611 W CANAL ST","8","10/12/2018","A"
"HOTEL LOBBY RESTAURANT- POTAWATOMI","1611 W CANAL ST","8","10/12/2018","A"
"BELLA ITALIAN- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL","1611 W CANAL ST","8","10/12/2018","A"
"MENOMONEE VALLEY FOOD COURT","1611 W CANAL ST","8","10/12/2018","A"
"HOTEL BANQUETS (THIRD FLOOR)","1611 W CANAL ST","8","10/12/2018","A"
"BINGO POPCORN","1611 W CANAL ST","8","10/12/2018","A"
"DREAM DANCE STEAK- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL","1611 W CANAL ST","8","10/12/2018","A"
"TACO BELL #31497","4117 N 76TH ST","5","10/12/2018","A"
"UPPA YARD","4925 W FOND DU LAC AV","7","10/12/2018","A"
"US GAS & FOOD MART","408 E NORTH AV","6","10/11/2018","A"
"WONG'S WOK","7424 W APPLETON AV","2","10/10/2018","A"
