"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"CARNICERIA EL CAMPESINO","635 W GREENFIELD AV","12","07/31/2018","A"
"MILWAUKEE SAIL LOFT","649 E ERIE ST","","07/30/2018","A"
"WALGREENS #03813","3522 W WISCONSIN AV","10","07/30/2018","A"
"COUSINS","1612 W WISCONSIN AV","","07/27/2018","A"
"ESTABROOK BEER GARDEN","435 W HAMPTON AVE","","07/27/2018","A"
"CJ'S MINI MART","3520 W FOND DU LAC AV","","07/26/2018","A"
"TAQUERIA ARANDAS (ID# 486)","2912 S 13TH ST","14","07/25/2018","MA"
"STARK FOOD II","4616 W HAMPTON AV","1","07/25/2018","A"
"MISS KATIE'S DINER","1900 W CLYBOURN ST","4","07/24/2018","B"
"STARBUCKS COFFEE CO #8817","2210 E OKLAHOMA AV","14","07/24/2018","A"
"APPLEBEE'S NEIGHBORHOOD BAR & GRILL","270 W HOLT AV","14","07/24/2018","A"
"MADER'S GERMAN RESTAURANT","1037 N OLD WORLD THIRD ST","4","07/24/2018","A"
"LOCUST GAS & FOOD","1432 W LOCUST ST","","07/24/2018","A"
"SWIGS PUB & GRILL","3143 S CLEMENT AV","14","07/24/2018","A"
"THE SOUP MARKET","5330 W VLIET ST","10","07/23/2018","A"
"NEW ENTERTAINERS","5321 W GREEN TREE RD","9","07/23/2018","A"
"ROYAL INDA BAR & GRILL","3400 S 27TH ST","11","07/23/2018","A"
"MIKE'S MOBILE KITCHEN #0087","9000 W KAUL AV","1","07/23/2018","MA"
"GIFT OF WINGS","1500 N LINCOLN MEMORIAL DR","4","07/23/2018","A"
"MONREAL'S ENCORE","101 S DANA CT","10","07/23/2018","A"
"SWEET DINER","239 E CHICAGO ST","4","07/20/2018","A"
"COLECTIVO COFFEE ROASTERS, INC.","170 S 1ST ST","12","07/20/2018","A"
"CANTEEN DINING","1320 N MARTIN L KING JR DR","6","07/20/2018","B"
"MI CASA SU CAFE","1839 N MARTIN L KING JR DR","6","07/19/2018","A"
"LITTLE CAESARS #314","9230 W CAPITOL DR","5","07/19/2018","B"
"POPEYES LOUISIANA KITCHEN","4209 W GREENFIELD AV","8","07/19/2018","A"
"PIZZA HUT","5704 W CAPITOL DR","","07/19/2018","A"
"MIKE'S MOBILE KITCHEN #0088","9000 W KAUL AVE","4","07/18/2018","MA"
"DOMINO'S PIZZA","7613 W GOOD HOPE RD","9","07/18/2018","A"
"STARBUCKS COFFEE #2363","1610 W WISCONSIN AV","4","07/18/2018","A"
"HONG KONG EXPRESS","2373 N MARTIN L KING JR DR","6","07/18/2018","A"
"MYKONOS RESTAURANT","8501 W CAPITOL DR","5","07/18/2018","A"
"GO GREEN","9821 W OKLAHOMA AV","11","07/17/2018","A"
"SPEEDWAY #4289","9091 N 76TH ST","9","07/17/2018","A"
"HOPKINS FOOD MART","4601 N HOPKINS ST","","07/17/2018","A"
"EXPRESS LIQUOR & TOBACCO","6859 N TEUTONIA AV","","07/17/2018","A"
"TAQUERIA LA VECINDAD (ID #0786)","621 S 4TH ST","12","07/17/2018","MA"
"DAVIANS AT PARKLAND CENTER","11200 W PARKLAND AV","5","07/17/2018","A"
"JEWISH HOME AND CARE CENTER","1414 N PROSPECT AV","4","07/17/2018","A"
"POPEYE'S CHICKEN","2399 W NORTH AV","15","07/17/2018","B"
"DAVIANS AT 411","411 E WISCONSIN AV","4","07/17/2018","A"
"SUBWAY","3434 W NORTH AV","15","07/17/2018","A"
"SK PETRO MART","2501 S 13TH ST","12","07/17/2018","A"
"ANGIE'S CANDY STORE","2205 S MUSKEGO AV","8","07/17/2018","A"
"SAM'S TAP","3118 S CHASE AV","14","07/16/2018","A"
"CHECKERS","7525 W CAPITOL DR","10","07/16/2018","A"
"METRO MARKET #6371","1123 N VAN BUREN ST","4","07/16/2018","A"
"IVEN'S FOOD MART","2838 W ATKINSON AV","1","07/16/2018","A"
"ANSH PETROLEUM","6530 W FOND DU LAC AV","2","07/16/2018","A"
"M MINI MART","5922 N 76TH ST","","07/16/2018","A"
"PIZZA HUT","1840 S 15TH ST","12","07/16/2018","A"
"ATHEN'S FAMILY RESTAURANT","5547 N LOVERS LANE RD","5","07/16/2018","A"
"THE CAFE AT THE MILWAUKEE ART MUSEUM","700 N ART MUSEUM DR","4","07/16/2018","A"
"PANTRY-C-TRIP","4057 N GREEN BAY AV","1","07/16/2018","A"
"US GAS","4427 N GREEN BAY AV","1","07/16/2018","A"
"FOREST MART","1948 W FOREST HOME AV","12","07/16/2018","A"
"FOOD SERVICES, INC.","1025 N RIVERWALK WA","4","07/13/2018","A"
"SKYBOX SPORTS BAR","2213 N MARTIN L KING JR DR","6","07/13/2018","A"
"THAI LOTUS","1000 E LOCUST ST","3","07/13/2018","A"
"FRESH FIN POKE","316 N MILWAUKEE ST #100","4","07/13/2018","A"
"SAVOY'S","2901 N 5TH ST","6","07/13/2018","A"
"TACOS EL CHARRITO (ID #0573)","717 S 2ND ST","12","07/13/2018","MA"
"TACOS EL CHARRITO (ID# 0795)","1338 W SCOTT ST","12","07/13/2018","MA"
"HAMPTON ASIAN FOOD","6816 W HAMPTON AV","2","07/12/2018","A"
"MILLER BREWHOUSE-CONCESSIONS MALL","5300 S HOWELL AV","13","07/11/2018","A"
"JJ FISH & CHICKEN","6212 W CAPITOL DR","","07/11/2018","A"
"LAS 7 ESTRELLAS #0594","565 W LINCOLN AV","14","07/11/2018","MA"
"KHAHRA PETROLEUM","5904 W HAMPTON AV","7","07/11/2018","A"
"KING'S HAMPTON CONVENIENCE","3800 W HAMPTON AV","1","07/11/2018","A"
"DRETZKA GOLF CLUB HOUSE","12020 W BRADLEY RD","9","07/11/2018","A"
"ONE STOP PANTRY","9622 W FOND DU LAC AV","2","07/11/2018","A"
"GOOD HOPE MART","7616 W GOOD HOPE RD","9","07/11/2018","A"
"SUBWAY","506 E MASON ST","4","07/11/2018","A"
"CHILI'S TOO","4068 S HOWELL AV","13","07/11/2018","A"
"CHILI'S TOO","4068 S HOWELL AV","13","07/11/2018","A"
"HONEY DIP DONUTS","5306 S 27TH ST","13","07/10/2018","A"
"DADDY'S SUB","2639 W VLIET ST","4","07/10/2018","A"
"TACO BELL #31027","260 W HOLT AV","14","07/10/2018","A"
"COUSINS SUBS","4134 W VILLARD AV","1","07/09/2018","A"
"NWHC- INSPECTOR VOIDED PLACARD","7630 W MILL RD","9","07/09/2018","B"
"VILLAGE FOOD MART","6730 W MORGAN AV","11","07/09/2018","A"
"PAUL'S PETRO","3709 W VILLARD AV","1","07/06/2018","A"
"VILLARD PUMP & PANTRY","4105 W VILLARD AV","1","07/06/2018","A"
"RITZ FOOD MARKET","5834 W VILLARD AV","2","07/06/2018","A"
"BURGER KING","4040 N GREEN BAY AV","1","07/06/2018","A"
"YUMMI FOODS","8538 W BROWN DEER RD","9","07/06/2018","A"
"GOUDA GIRL GRILL","1125 N 9TH ST","4","07/06/2018","A"
"CINCO DE MAYO FIESTA #0861","8412 W MORGAN AV","11","07/05/2018","MA"
"DENNY'S #8654","7822 W CAPITOL DR","5","07/05/2018","B"
"SCARDINA SPECIALTIES","822 E CHAMBERS ST","3","07/05/2018","A"
"FRIDAY'S FRONT ROW SPORTS GRILL","1 S MILLER PARK WA","8","07/05/2018","A"
"DOLLAR TREE STORES #1880","320 E CAPITOL DR","6","07/03/2018","A"
"LLOYD FOOD","2101 N 38TH ST","15","07/02/2018","A"
"PENNY SAVER","510 E VINE ST","6","07/02/2018","A"
"LINCOLN PARK MOBIL","4803 N GREEN BAY AV","1","07/02/2018","A"
"76 STEAK & POTATO","7601 W HAMPTON AV","5","07/02/2018","A"
"PAPA JOHN'S PIZZA #3143","1611 W WELLS ST","4","07/02/2018","A"
"JIMMY JOHN'S","1532 W WELLS ST","4","07/02/2018","A"
"NYPD","231 E NORTH AV","6","07/02/2018","B"
"ANTICIPATION","6218 S 27TH ST","13","07/02/2018","A"
"RUBY'S PETRO","3501 N 60TH ST","10","06/28/2018","A"
"RUBY'S PETRO","3501 N 60TH ST","10","06/28/2018","A"
"CARNITAS MACHETES","2000 S 8TH ST","12","06/28/2018","A"
"BURGER KING","5812 W LISBON AV","10","06/28/2018","A"
"BURGER KING","5812 W LISBON AV","10","06/28/2018","A"
"CENTER & SHERMAN TOBACCO & CELL","4320 W CENTER ST","7","06/27/2018","A"
"EINSTEIN BROS BAGELS #1373","544 E OGDEN AV","4","06/27/2018","A"
"HYATT PLACE MILWAUKEE WEST","11777 W SILVER SPRING DR","5","06/27/2018","B"
"HYATT PLACE MILWAUKEE WEST","11777 W SILVER SPRING DR","5","06/27/2018","B"
"PETRO'S PIZZA","2912 S KINNICKINNIC AV","14","06/27/2018","A"
"SUBWAY","10330 W SILVER SPRING DR","5","06/26/2018","A"
"SOUTHGATE CINEMAS","3330 S 30TH ST","11","06/26/2018","A"
"DE MARINIS ORIGINAL RECIPES","1211 E CONWAY ST","14","06/26/2018","A"
"BEIJING EXPRESS","1418 S MUSKEGO AV","12","06/26/2018","A"
"BOSCO'S ON BURLEIGH","1000 E BURLEIGH ST","3","06/26/2018","A"
"KINNICK MART","3087 S KINNICKINNIC AV","14","06/26/2018","A"
"IN THE NICK OF TIME","9002 W SILVER SPRING DR","2","06/26/2018","C"
"CAFE LULU","2261 S HOWELL AV","14","06/26/2018","A"
"HYATT PLACE-MILWAUKEE AIRPORT","200 W GRANGE AV","13","06/26/2018","A"
"CAMP BAR","525 E MENOMONEE ST","4","06/26/2018","A"
"HOWARD CLARK","5030 W HOWARD AV","11","06/26/2018","A"
"HOWARD CLARK","5030 W HOWARD AV","11","06/26/2018","A"
"JERSEY MIKE'S","544 E OGDEN AV","4","06/25/2018","A"
"CASH AND CARRY CATERING","8103 W TOWER AV","9","06/25/2018","A"
"FLANNERY'S BAR & RESTAURANT","425 E WELLS ST","4","06/25/2018","A"
"WENDY'S RESTAURANT #5","6225 W CAPITOL DR","2","06/22/2018","A"
"THAI BANGKOK","9112 W BROWN DEER RD","9","06/22/2018","A"
"RIVERWALK CAFE & ESPRESSO BAR","735 N WATER ST","4","06/22/2018","A"
"PAPA REDDS BBQ #26","4852 N 46TH ST","1","06/22/2018","MA"
"ALDI #89","7601 W FOND DU LAC AV","2","06/22/2018","A"
"35TH STREET HOMETOWN","3381 N 35TH ST","7","06/22/2018","A"
"EL RINCON CRIOLLO ID #0522","1408 W WINDLAKE AV","12","06/22/2018","MA"
"EL RINCON CRIOLLO ID #0522","1408 W WINDLAKE AV","12","06/22/2018","MA"
"THE DOGG HAUS-WATER","755 N WATER ST","4","06/21/2018","A"
"INTERCONTINENTAL MILWAUKEE","139 E KILBOURN AV","4","06/21/2018","A"
"HANNAWI MEAT AND DELI","4737 W CENTER ST","15","06/21/2018","A"
"EL GRECO","9143 W APPLETON AV","5","06/21/2018","A"
"CLARK GAS STATION","3434 W OKLAHOMA AV","11","06/21/2018","A"
"HOME RUN FOODS","3824 W FLORIST AV","1","06/21/2018","A"
"KENTUCKY FRIED CHICKEN #078","2470 N MARTIN L KING JR DR","6","06/21/2018","A"
"GLASS SLIPPER","3250 N 2ND ST","6","06/20/2018","A"
"WALGREENS #3109","7171 N TEUTONIA AV","1","06/20/2018","A"
"MCDONALDS","4925 W HAMPTON AV","7","06/20/2018","A"
"AS INC","5168 N 76TH ST","2","06/20/2018","A"
"MILWAUKEE WATERFRONT DELI","761 N WATER ST","4","06/20/2018","A"
"GREN RING II","3305 N MARTIN L KING JR DR","6","06/19/2018","A"
"SVEN'S EUROPEAN CAFE","2699 S KINNICKINNIC AV","14","06/19/2018","A"
"SANTINO'S SOCIAL CLUB","352 E STEWART ST","14","06/19/2018","A"
"TOBRUK FOODS","4401 W LISBON AV","15","06/19/2018","A"
"DOCCY'S POOL & DARTS","5701 W OKLAHOMA AV","11","06/19/2018","A"
"ANSH PETROLEUM","6530 W FOND DU LAC AV","2","06/18/2018","A"
"DOMINO'S PIZZA","1338 W FOREST HOME AV","12","06/18/2018","A"
"VALENTINE'S COFFEE-CONCESSIONS MALL","5300 S HOWELL AV","13","06/18/2018","A"
"SHORTY'S CATERING & RESTAURANT","2075 S 13TH ST","12","06/15/2018","A"
"JIMBO'S LODGE CATERING","5555 W GOOD HOPE RD","9","06/14/2018","A"
"MILWAUKEE ELKS LODGE #46 BPO","5555 W GOOD HOPE RD","9","06/14/2018","A"
"FOX RIVER MART #4","9025 W APPLETON AV","2","06/13/2018","A"
"HILTON GARDEN INN-MILW AIRPORT","5890 S HOWELL AV","13","06/13/2018","A"
"MARK'S SPORTS PUB","4035 S CLEMENT AV","14","06/13/2018","A"
"KWIK PANTRY","7919 N 60TH ST","","06/12/2018","A"
"SCENE I RESTAURANT & LOUNGE","5524 W NORTH AV","10","06/12/2018","A"
"SCENE I RESTAURANT & LOUNGE","5524 W NORTH AV","10","06/12/2018","A"
"MOONSHINE","3300 S 27TH ST","13","06/12/2018","A"
"FAT VALDY'S","5108 W BLUE MOUND RD","10","06/12/2018","B"
"THE BROWN BOTTLE","221 W GALENA ST","6","06/12/2018","A"
"SILVER MILLS GAS & FOOD","6001 N TEUTONIA AV","1","06/12/2018","A"
"POINT BURGER BAR","10950 W GOOD HOPE RD","5","06/11/2018","A"
"MCDONALDS","7451 W APPLETON AV","2","06/08/2018","A"
"ACTION FOOD & LIQUOR","3455 N MARTIN L KING JR DR","6","06/08/2018","A"
"LITTLE CAESAR #319","3871 S 27TH ST","13","06/08/2018","A"
"COLECTIVO COFFEE ROASTERS","225 E ST PAUL AV","4","06/08/2018","A"
"LA TAPATIA MINI MART","3100 W MITCHELL ST","8","06/07/2018","A"
"FOND DU LAC SUPERFOODS","10212 W FOND DU LAC AV","5","06/07/2018","A"
"MITCHELL'S TAVERN","10433 W APPLETON AV","5","06/07/2018","A"
"MILWAUKEE ASIAN MARKET RESTAURANT","6300 N 76TH ST","2","06/07/2018","A"
"YANG'S GROCERY","6300 N 76TH ST","2","06/07/2018","A"
"PROGENY GROUP","8949 N 97TH ST","9","06/07/2018","A"
"THE KNICK","1030 E JUNEAU AV","4","06/06/2018","A"
"PANTRY 41 BP","1030 E NORTH AV","3","06/06/2018","A"
"WALGREENS #4984","6707 W HAMPTON AV","2","06/06/2018","A"
"DOC'S COMMERCE SMOKEHOUSE","754 N 4TH ST","4","06/06/2018","A"
"AARAN GROCERIES","1032 W BURLEIGH ST","6","06/05/2018","A"
"SPEEDWAY #4129","3869 S 84TH ST","11","06/05/2018","A"
"NORTHSTAR COFFEE","4155 N PORT WASHINGTON AV","6","06/04/2018","A"
"MANPOWER/STARBUCKS","201 W CHERRY ST","6","06/04/2018","A"
"ALOFT MILWAUKEE DOWNTOWN","1230 N OLD WORLD THIRD ST","6","06/04/2018","A"
"THE BLUE STAR CAFE","1619 N FARWELL AV","3","06/01/2018","A"
"MADER'S GERMAN RESTAURANT","1037 N OLD WORLD THIRD ST","4","06/01/2018","B"
"HOLTON LIQUOR & FOOD","2301 N HOLTON ST","6","06/01/2018","A"
"THE CORNER PUB","7602 W LISBON AV","5","06/01/2018","A"
"FRESH & SAFE","2224 W KILBOURN AV","4","06/01/2018","A"
"SAVORY CATERING & EVENTS","2301 W WISCONSIN AV","4","06/01/2018","A"
"UPTOWNER","1032 E CENTER ST","3","06/01/2018","A"
"THE SOUP & STOCK MARKET","400 N WATER ST","4","06/01/2018","A"
"THE WICKED HOP","343 N RIVERWALK WA","4","06/01/2018","A"
"NO. 1 CHINESE RESTAURANT","3260 S 27TH ST","11","05/31/2018","A"
"MRZK MARKET","1125 W LINCOLN AV","12","05/31/2018","A"
"EL REY FOOD MART","1320 W BURNHAM ST","12","05/30/2018","A"
"7TH STREET FOODS","2900 N 7TH ST","6","05/30/2018","A"
"MP ON WHEELS CATERING SERVICE","400 N WATER ST","4","05/30/2018","A"
"ANDY'S ON TEUTONIA","7222 N TEUTONIA AV","1","05/30/2018","A"
"JAMAICAN JERK CENTER","6015 N TEUTONIA AV","1","05/30/2018","A"
"J&B'S BLUE RIBBON BAR & GRILL","5230 W BLUE MOUND RD","10","05/30/2018","A"
"SUBWAY","7213 N TEUTONIA AV","1","05/30/2018","A"
"J&J FISH & CHICKEN","6610 N 76TH ST","9","05/30/2018","A"
"THE DOGG HAUS","790 N JEFFERSON ST","4","05/30/2018","A"
"TACO BELL #31501","5751 W FOND DU LAC AV","2","05/29/2018","A"
"TAQUERIA EL CABRITO ID #0539","1100 S 11TH ST","12","05/29/2018","A"
"CHUBBY'S CHEESESTEAKS","605 S 1ST ST","12","05/29/2018","A"
"SUNDEEP LIQUOR","8082 N 76TH ST","9","05/25/2018","A"
"SPEEDWAY #4123","8431 W APPLETON AV","5","05/25/2018","A"
"TONY'S","3510 W VILLARD AV","1","05/25/2018","A"
"TONY'S","3506 W VILLARD AV","1","05/25/2018","A"
"GURNOOR FOOD MART","204 E CENTER ST","6","05/25/2018","A"
"MATC- FOOD COURT","700 W STATE ST","4","05/25/2018","A"
"BURRITO BUENO","7308 W CAPITOL DR","2","05/25/2018","A"
"NACHO KING","2654 W FOND DU LAC AV","15","05/25/2018","A"
"NOIL FOOD","4025 W BURLEIGH ST","7","05/25/2018","A"
"PAPA JOHN'S PIZZA #3143","1611 W WELLS ST","4","05/25/2018","A"
"BP GAS STATION","9040 W SILVER SPRING DR","2","05/24/2018","A"
"BEST FOOD MARKET","2430 N MARTIN L KING JR DR","6","05/24/2018","A"
"JJ FISH AND CHICKEN","9008 W BROWN DEER RD","9","05/24/2018","A"
"MENARDS","8110 W BROWN DEER RD","9","05/24/2018","A"
"FAST N FRIENDLY MARKET","311 E LOCUST ST","6","05/23/2018","A"
"MILLER PARK CONCESSIONS CC-3 E BBQ/CUSTARD DOOR CC #4404, CC-3","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS CC-2 AJ BOMBERS DOOR #4525","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS IS1 GEHL CLUB KITCHEN DOOR #4215","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-8 CUSTARD DOOR #2708","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-11 AJ BOMBERS DOOR # 2517","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-6 KLEMENTS SAUSAGE DOOR #2712","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-9 TACOS DOOR #2610","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS 13 MAC N CHEESE FIELD PORTABLE FP-13 #010 SECTION 124","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS 13 MAC N CHEESE FIELD PORTABLE FP-13 #010 SECTION 124","201 S 46TH ST","10","05/23/2018","A"
"15 DIPPIN DOTS FIELD PORTABLE FP-15 #012 SECTION 127","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-14 SMOKE SHACK BBQ DOOR # 2408","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-16 TACOS DOOR # 2310","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-18 AJ BOMBERS DOOR #2212","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS FC-18 AJ BOMBERS DOOR #2212","201 S 46TH ST","10","05/23/2018","A"
"18 BPS LOGE PORTABLE LP-18 #030 SECTION 225","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS LP-2 ZAFFIRO'S PIZZA DOOR #3711","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS 14 DELI LOGE PORTABLE LP-14 #027 SECTION 223","201 S 46TH ST","10","05/23/2018","A"
"3 SMOKE SHACK LOGE PORTABLE LP-3 #016 SECTION 211","201 S 46TH ST","10","05/23/2018","A"
"9 BAKED POTATO LOGE PORTABLE LP-9 #020 SECTION 217","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS LC-4 TACOS DOOR #3702","201 S 46TH ST","10","05/23/2018","A"
"MILLER PARK CONCESSIONS LC-5 KLEMENTS SAUSAGES DOOR #3514","201 S 46TH ST","10","05/23/2018","A"
"CAPITOL PANTRY","2483 W CAPITOL DR","7","05/23/2018","A"
"BEERLINE CAFE","2076 N COMMERCE ST","6","05/23/2018","A"
"MCDONALDS","11313 W SILVER SPRING DR","5","05/22/2018","A"
"ANODYNE COFFEE ROASTING CO","2920 S KINNICKINNIC AV","14","05/22/2018","A"
"TOPPERS PIZZA","2262 S KINNICKINNIC AV","14","05/22/2018","A"
"KK PETROLEUM","2023 S KINNICKINNIC AV","14","05/22/2018","A"
"KEEFE & 3RD SUPERMARKET","301 E KEEFE AV","6","05/22/2018","A"
"J & J FISH AND CHICKEN","405 E CENTER ST","6","05/22/2018","A"
"PHILLIPS 66 ON BRADLEY","6011 W BRADLEY RD","9","05/21/2018","A"
"GPC","3500 N 13TH ST","6","05/18/2018","A"
"GYRO 27","5308 N 27TH ST","1","05/18/2018","A"
"CANTINA MILWAUKEE","1110 N OLD WORLD THIRD ST","4","05/18/2018","B"
"MCDONALDS","5890 S 27TH ST","13","05/18/2018","A"
"AMELIA'S","724 W LAYTON AV","13","05/18/2018","A"
"SABROSA CAFE & GALLERY","3216 S HOWELL AV","14","05/18/2018","A"
"BOTANAS II","1421 E HOWARD AV","14","05/18/2018","A"
"GARFIELD'S 502","502 E GARFIELD AV","6","05/18/2018","A"
"SUBWAY","9109 W BURLEIGH ST","5","05/18/2018","A"
"COLECTIVO COFFEE ROASTERS INC","777 E WISCONSIN AV","4","05/18/2018","A"
"GILL GAS","3105 N HOLTON ST","6","05/18/2018","A"
"KLINGER'S EST","920 E LOCUST ST","3","05/18/2018","A"
"VAGABOND","1122 N EDISON ST","4","05/18/2018","A"
"RESTAURANTE EL SALSA","117 W OKLAHOMA AV","14","05/18/2018","A"
"SUNLITE MINI MART","5331 W CENTER ST","10","05/18/2018","A"
"WESTSIDE LIQUOR","8948 W APPLETON AV","2","05/18/2018","A"
"RACKS FULL OF SNACKS","240 W WELLS ST","4","05/18/2018","A"
"EL RENAMPA MEXICAN GRILL & CANTINA","8660 N 107TH ST","9","05/18/2018","B"
"COUSINS SUBS","324 E WISCONSIN AV","4","05/18/2018","A"
"GOLD'S GYM","731 N WATER ST","4","05/17/2018","A"
"GOLD'S GYM","731 N WATER ST","4","05/17/2018","A"
"COUNTY CLARE","1234 N ASTOR ST","4","05/17/2018","A"
"IAN'S PIZZA MILWAUKEE","2035 E NORTH AV","3","05/17/2018","A"
"SAZAMA'S FINE CATERING","929 N WATER ST","4","05/17/2018","A"
"LA DELICATESSE","275 W WISCONSIN AV","4","05/17/2018","A"
"SASTA BAZAAR","709 W HISTORIC MITCHELL ST","12","05/17/2018","A"
"PIZZA HUT","2340 N FARWELL AV","3","05/17/2018","A"
"ROCK BOTTOM BREWERY","740 N PLANKINTON AV","4","05/17/2018","A"
"FOLTZ FAMILY MARKET INC","400 N WATER ST","4","05/16/2018","A"
"FAMILY DOLLAR #6245","2214 N 35TH ST","15","05/15/2018","A"
"STORY HILL BOTTLE- KITCHEN- CUP","5100 W BLUE MOUND RD","10","05/15/2018","A"
"LISBON GAS & FOOD","3033 W LISBON AV","15","05/15/2018","A"
"MCDONALDS","5739 W SILVER SPRING DR","9","05/15/2018","A"
"MC GINNS","5901 W BLUE MOUND RD","10","05/15/2018","A"
"BURGER KING","6544 N 76TH ST","9","05/14/2018","A"
"BURGER KING","6544 N 76TH ST","9","05/14/2018","A"
"TOPPERS PIZZA","1903 E KENILWORTH PL","3","05/14/2018","A"
"WISCONSIN LUTHERAN COLLEGE","8800 W BLUE MOUND RD","10","05/14/2018","A"
"WISCONSIN LUTHERAN COLLEGE","8800 W BLUE MOUND RD","10","05/14/2018","A"
"LUCKY LANES","5014 W HOWARD AV","11","05/14/2018","A"
"BLAZE PIZZA","2901 N OAKLAND AV","3","05/14/2018","A"
"ANDY'S ON BROWN DEER","8200 W BROWN DEER RD","9","05/14/2018","B"
"LAUGHING TACO","1031 S 1ST ST","12","05/11/2018","A"
"VISTA","6000 W VILLARD AV","2","05/11/2018","A"
"KWIK STOP","2434 W NATIONAL AV","8","05/11/2018","A"
"JALISCO RESTAURANT","1035 S CESAR E CHAVEZ DR","12","05/11/2018","A"
"CAFE BENELUX","346 N RIVERWALK WA","4","05/11/2018","A"
"PICK N SAVE #6868","605 E LYON ST","3","05/10/2018","B"
"MILWAUKEE ATHLETIC CLUB","758 N RIVERWALK WA","4","05/10/2018","A"
"MCGILLYCUDDY'S BAR & GRILL","1133 N WATER ST","4","05/09/2018","B"
"ELSA'S ON THE PARK","833 N JEFFERSON ST","4","05/09/2018","A"
"PIZZA HUT- 4","7604 W BURLEIGH ST","5","05/09/2018","A"
"QDOBA MEXICAN EATS","1348 E BRADY ST","3","05/09/2018","A"
"ON THE BUS #T-22","400 N WATER ST","4","05/08/2018","A"
"RAVI BEHL","1930 W MORGAN AV","13","05/08/2018","A"
"NATIONAL BAKERY & DELI","3200 S 16TH ST","13","05/08/2018","A"
"AURORA SINAI MEDICAL CENTER","945 N 12TH ST","4","05/08/2018","A"
"SUBWAY","10330 W SILVER SPRING DR","5","05/07/2018","A"
"EL SUNAMI","2001 W LINCOLN AV","8","05/07/2018","B"
"DOMINO'S","552 W LAYTON AV","13","05/07/2018","A"
"QDOBA MEXICAN GRILL","639 W LAYTON AV","13","05/07/2018","A"
"PETE'S MARKETPLACE","1400 S UNION ST","12","05/07/2018","B"
"CHINA TOWN RESTAURANT","5125 W NORTH AV","10","05/07/2018","A"
"CIELITO LINDO","733 S 2ND ST","12","05/07/2018","A"
"COUSIN'S SUBS","552 W LAYTON AV","13","05/07/2018","A"
"OAKLAND GYROS","530 W LAYTON AV","13","05/07/2018","A"
"MANGOS CAFE EAST","1682 N VAN BUREN ST","3","05/07/2018","A"
"ALADDIN CITY CAFE","841 N RIVERWALK WA","4","05/07/2018","A"
"MY OFFICE","759 N MILWAUKEE ST","4","05/07/2018","A"
"THE DOGG HAUS-BRADY","1433 E BRADY ST","3","05/04/2018","A"
"PFISTER HOTEL & TOWER- CAFE","424 W WISCONSIN AV","4","05/04/2018","A"
"SABABA CAFE & CATERING","330 E KILBOURN AV","4","05/04/2018","A"
"CHOPSTIX","1820 N FARWELL AV","3","05/04/2018","A"
"KITT'S FROZEN CUSTARD","7000 W CAPITOL DR","2","05/04/2018","A"
"WAZ'S PUB","4532 W BURLEIGH ST","7","05/04/2018","A"
"QUICK PICK FOOD MART","1200 E HOWARD AV","14","05/04/2018","A"
"HAMPTON MOBIL","4780 N 76TH ST","2","05/04/2018","B"
"VALENTINE'S COFFEE-CONCOURSE C","5300 S HOWELL AV","13","05/03/2018","A"
"VALENTINE'S COFFEE-CONCOURSE D","5300 S HOWELL AV","13","05/03/2018","A"
"SHARKS FISH & CHICKEN","5653 N 76TH ST","2","05/03/2018","A"
"CHICKEN MAN","9104 W BROWN DEER RD","9","05/03/2018","A"
"BROWN DEER MARATHON","10501 W BROWN DEER RD","9","05/03/2018","A"
"STARBUCKS #2715","5610 W CAPITOL DR","2","05/03/2018","A"
"J & S AFRICAN CENTER","6029 N TEUTONIA AV","1","05/03/2018","A"
"COUSINS SUBS","11401 W SILVER SPRING DR","5","05/03/2018","A"
"IRON GRATE BBQ CO","4125 S HOWELL AV","13","05/02/2018","A"
"ONE STOP PANTRY","3927 W VILLARD AV","1","05/02/2018","A"
"CITGO","4928 W VILLARD AV","1","05/02/2018","A"
"IAN'S PIZZA MILWAUKEE","2035 E NORTH AV","3","05/02/2018","A"
